Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,10/100/1000 Ethernet,RCOSC_50MHZ,XTLOSC
CommsFPGA_CCC_0/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/Primitives,15,5,0,0,0,0,0,0,1,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/L31.U_corefifo_async/Primitives,111,97,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/Primitives,10,13,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_0/FIFO_8Kx9_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31.U_corefifo_async/Primitives,107,97,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/Primitives,10,13,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/L31.U_corefifo_async/Primitives,111,97,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/Primitives,10,13,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_2/FIFO_8Kx9_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31.U_corefifo_async/Primitives,112,97,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/Primitives,10,13,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0
