pin,slack
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:ADn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:ALn,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:CLK,95463
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:D,96725
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:EN,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:LAT,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:Q,95463
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:SD,
CommsFPGA_top_0/TRIPLE_DEBOUNCE_INST/DEBOUNCE_1_INST/debounce_cntr[3]:SLn,
CommsFPGA_top_0/MANCHESTER_ENCODER_INST/TRANSMIT_SM/TX_IDLE_LINE_DETECTOR/idle_line_RNO:A,3705
CommsFPGA_top_0/MANCHESTER_ENCODER_INST/TRANSMIT_SM/TX_IDLE_LINE_DETECTOR/idle_line_RNO:B,3640
CommsFPGA_top_0/MANCHESTER_ENCODER_INST/TRANSMIT_SM/TX_IDLE_LINE_DETECTOR/idle_line_RNO:C,2368
CommsFPGA_top_0/MANCHESTER_ENCODER_INST/TRANSMIT_SM/TX_IDLE_LINE_DETECTOR/idle_line_RNO:Y,2368
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/ReadFIFO_WR_SM_un1_sampler_clk1x_en_0_I_21_FCINST1:CC,1276
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/ReadFIFO_WR_SM_un1_sampler_clk1x_en_0_I_21_FCINST1:CO,1276
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/ReadFIFO_WR_SM_un1_sampler_clk1x_en_0_I_21_FCINST1:P,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/ReadFIFO_WR_SM_un1_sampler_clk1x_en_0_I_21_FCINST1:UB,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:ADn,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:ALn,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:CLK,4800
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:D,4800
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:EN,3270
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:LAT,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:Q,4800
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:SD,
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/rx_fifo_din_d2[0]:SLn,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31_U_corefifo_async/rptr_gray_1[7]:A,11693
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31_U_corefifo_async/rptr_gray_1[7]:B,11637
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_3/FIFO_8Kx9_0/L31_U_corefifo_async/rptr_gray_1[7]:Y,11637
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:ADn,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:ALn,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:CLK,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:D,11569
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:EN,8050
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:LAT,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:Q,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:SD,
CommsFPGA_top_0/PROCESSOR_INTERFACE_INST/mac_3_byte_2_reg[2]:SLn,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:ADn,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:ALn,1251
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:CLK,4800
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:D,439
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:EN,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:LAT,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:Q,4800
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:SD,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/Rd_corefifo_doubleSync/sync_int[0]:SLn,
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:A,
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:B,96558
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:C,
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:CC,
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:D,
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:P,96558
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31_U_corefifo_async/memraddr_r_s_382:UB,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/wdiff_bus_cry_3:A,-596
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/wdiff_bus_cry_3:B,-803
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/wdiff_bus_cry_3:C,
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/wdiff_bus_cry_3:CC,493
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO_1/FIFO_8Kx9_0/L31_U_corefifo_async/wdiff_bus_cry_3:D,
